feature,jud_suess_importance,hans_westmar_importance,jud_suess_rank,hans_westmar_rank,avg_importance
contrast,0.07029181336659791,0.09626055564878325,3.0,1.0,0.08327618450769059
mean_brightness,0.06467355189639033,0.08954596397259484,4.0,2.0,0.0771097579344926
dof_variance,0.08841952602547686,0.060821959999301456,1.0,6.0,0.07462074301238916
low_key_ratio,0.049882860492024714,0.08165679887690899,12.0,3.0,0.06576982968446685
edge_density,0.06362941236960193,0.057634556095053184,6.0,9.0,0.06063198423232756
high_key_ratio,0.04962813106589948,0.0704451817866951,13.0,4.0,0.06003665642629728
color_temperature,0.06388260670293765,0.05394537290868188,5.0,10.0,0.058913989805809766
center_brightness,0.06076740729064167,0.05371276649614087,7.0,11.0,0.05724008689339127
brightness_std,0.05066574515290991,0.06252695749537474,10.0,5.0,0.05659635132414233
vertical_symmetry,0.05024955392962354,0.053250325960137276,11.0,12.0,0.051749939944880405
texture_homogeneity,0.04428548839345634,0.05812369206334175,14.0,8.0,0.051204590228399044
largest_face_y_position,0.07772611084226244,0.023154006589621207,2.0,17.0,0.05044005871594182
dark_regions_count,0.040290696351381855,0.05817806757077294,16.0,7.0,0.0492343819610774
texture_contrast,0.05199925147900967,0.0431587584568151,9.0,14.0,0.04757900496791238
horizontal_symmetry,0.04424643957506808,0.050158596370893996,15.0,13.0,0.04720251797298104
face_area_ratio,0.057419456510716047,0.0263257858336088,8.0,15.0,0.04187262117216242
bright_regions_count,0.03849561590096184,0.025728403802143786,17.0,16.0,0.03211200985155281
face_count,0.03344633265503988,0.02041648643302274,18.0,18.0,0.02693140954403131
hue_mean,0.0,0.006936446619930687,20.5,19.0,0.0034682233099653436
saturation_mean,0.0,0.0039022228956711227,20.5,20.0,0.0019511114478355613
hue_std,0.0,0.0026274828569727614,20.5,21.0,0.0013137414284863807
saturation_std,0.0,0.001489611267533507,20.5,22.0,0.0007448056337667535
