feature,importance
dof_variance,0.10025192564379835
contrast,0.07602261115126054
high_key_ratio,0.06589417898598803
mean_brightness,0.06413915228749223
vertical_symmetry,0.06376045650850135
horizontal_symmetry,0.059603984539359715
texture_contrast,0.057092528460027735
texture_homogeneity,0.05556148133668044
brightness_std,0.055294512012117616
center_brightness,0.05452707378885531
edge_density,0.048792376309755574
low_key_ratio,0.04779795309324621
color_temperature,0.0427403628730868
largest_face_y_position,0.04220475013660369
bright_regions_count,0.04081369327115622
dark_regions_count,0.03482248711067672
face_area_ratio,0.028969304577132097
face_count,0.026320506520839778
hue_std,0.011769110365532718
hue_mean,0.011726014206457124
saturation_std,0.006326948799865997
saturation_mean,0.005568588021565615
