feature,importance
contrast,0.10077120710403153
mean_brightness,0.08993622048481999
vertical_symmetry,0.07329998605379384
low_key_ratio,0.07131704321650995
dark_regions_count,0.06503881169835457
dof_variance,0.06466159703854325
brightness_std,0.05899672919836444
high_key_ratio,0.058761241869007996
center_brightness,0.057421773415586824
texture_homogeneity,0.051818516349481945
edge_density,0.04958140835628094
color_temperature,0.04784003004156658
texture_contrast,0.04554203807785656
horizontal_symmetry,0.04224419894933793
face_count,0.03314679922105698
bright_regions_count,0.032901976407731626
largest_face_y_position,0.02154719960484668
face_area_ratio,0.019160391546080256
hue_mean,0.006038192454442537
hue_std,0.0051038503866659875
saturation_mean,0.002648447026578775
saturation_std,0.0022223414990607676
