feature,importance
dof_variance,0.09939662444305629
texture_contrast,0.08419629870326675
edge_density,0.07912179490536934
color_temperature,0.07507457357901025
high_key_ratio,0.07106701255687677
mean_brightness,0.06721282144430743
low_key_ratio,0.066820432002193
contrast,0.05670335084200682
center_brightness,0.05378625333550385
face_area_ratio,0.05348962142995206
vertical_symmetry,0.05193699199214992
bright_regions_count,0.051802279408151373
horizontal_symmetry,0.049482181389347485
brightness_std,0.0424046831097708
texture_homogeneity,0.04161596757182076
largest_face_y_position,0.029314587337785344
dark_regions_count,0.014449405701126794
face_count,0.01212512024830501
saturation_std,0.0
hue_mean,0.0
hue_std,0.0
saturation_mean,0.0
