feature,importance
center_brightness,0.10335343278613544
edge_density,0.1015227963534589
mean_brightness,0.0964818017834318
contrast,0.09107694609716821
texture_contrast,0.08813153180587617
low_key_ratio,0.08398500856220492
brightness_std,0.06740295042356813
vertical_symmetry,0.06734907913772585
texture_homogeneity,0.06551830948860955
horizontal_symmetry,0.06439876363511383
bright_regions_count,0.06432174027644498
high_key_ratio,0.06388094640612905
dark_regions_count,0.04257669324413327
hue_std,0.0
hue_mean,0.0
saturation_std,0.0
saturation_mean,0.0
