feature,importance
dof_variance,0.08609500711685072
contrast,0.07342045429739776
largest_face_y_position,0.07188706471425275
color_temperature,0.06363416655416226
edge_density,0.06248755371345008
center_brightness,0.06203902068093605
texture_contrast,0.06071681239001112
mean_brightness,0.06010029191932764
low_key_ratio,0.059016215683040184
face_area_ratio,0.055174911462773604
vertical_symmetry,0.05398601305556534
horizontal_symmetry,0.05380683365706902
high_key_ratio,0.04558350009169483
brightness_std,0.04271694161517293
texture_homogeneity,0.042152342222767425
dark_regions_count,0.038894968185424726
bright_regions_count,0.03847443425713085
face_count,0.02981346838297267
saturation_mean,0.0
hue_mean,0.0
hue_std,0.0
saturation_std,0.0
