feature,importance
edge_density,0.11875198564932513
contrast,0.10468162951560044
texture_contrast,0.09831787361178936
low_key_ratio,0.09607203403380843
mean_brightness,0.08584812815780449
center_brightness,0.07666734786947099
horizontal_symmetry,0.073048179328545
vertical_symmetry,0.06625813172355316
high_key_ratio,0.06172331528596681
brightness_std,0.06038023044701133
texture_homogeneity,0.05987742370751793
bright_regions_count,0.05193112929251783
dark_regions_count,0.046442591377089205
hue_std,0.0
hue_mean,0.0
saturation_std,0.0
saturation_mean,0.0
