feature,mean,std
dof_variance,0.09249159579366346,0.026420305692554085
contrast,0.0835710056318284,0.01114293001801564
mean_brightness,0.06545396080444457,0.013024151449255443
edge_density,0.06419111518993345,0.0037359979087716014
texture_contrast,0.06404291039450767,0.007539208111657381
low_key_ratio,0.05868007833319918,0.007874913743477494
high_key_ratio,0.058613068513266975,0.004120774484907237
center_brightness,0.05815801929366964,0.008268966739130721
horizontal_symmetry,0.05667989131815071,0.0074798207177300844
color_temperature,0.05270167748998316,0.026837067777894817
texture_homogeneity,0.05142587334811758,0.010337988208758638
brightness_std,0.05091881446719723,0.010574047736925656
largest_face_y_position,0.050411445778262086,0.015126795751630853
vertical_symmetry,0.04877968290461623,0.0027335648863164885
bright_regions_count,0.043810576329282876,0.0036848299616831044
face_area_ratio,0.04165735533882,0.006313753312010699
dark_regions_count,0.031088064253035636,0.004684803958966875
face_count,0.019781359215044054,0.0036787453884519965
hue_std,0.002885743419934608,0.002723102621899858
saturation_std,0.0017916473701268807,0.001586492849342665
hue_mean,0.0017404069303728253,0.001640688271475258
saturation_mean,0.0011257078825428538,0.0011867140824726589
